Date,Weighted_Price
2014-04-18,487.3195159407436
2014-04-19,494.49726136641567
2014-04-20,504.55471766503007
2014-04-21,501.77451447114953
2014-04-22,495.1011158786673
2014-04-23,490.06073620203773
2014-04-24,489.80356355017693
2014-04-25,463.7979922031907
2014-04-26,458.60043039492604
2014-04-27,450.91369504318806
2014-04-28,438.25714089379005
2014-04-29,445.4136260646527
2014-04-30,445.6619723298467
2014-05-01,456.5395736002279
2014-05-02,451.3752561488028
2014-05-03,441.7383116241368
2014-05-04,436.19877302736904
2014-05-05,432.68456143421383
2014-05-06,428.9421266156655
2014-05-07,439.4689614566264
2014-05-08,444.40353129993304
2014-05-09,448.1706122800115
2014-05-10,453.241467719723
2014-05-11,443.5373297603178
2014-05-12,439.8145801518468
2014-05-13,438.56594633049076
2014-05-14,443.7092394620825
2014-05-15,448.6997157769101
2014-05-16,448.30453665101936
2014-05-17,449.25759371957645
2014-05-18,447.78770480087667
2014-05-19,446.75688980361997
2014-05-20,470.4523962657155
2014-05-21,494.6469170793036
2014-05-22,512.9736587049525
2014-05-23,531.3614946344064
2014-05-24,522.2145424989318
2014-05-25,564.4824909450497
2014-05-26,582.6572002628624
2014-05-27,574.669288329
2014-05-28,574.5285940763922
2014-05-29,569.4805655913158
2014-05-30,599.9502348396555
2014-05-31,621.8122340062872
2014-06-01,646.9156818905166
2014-06-02,638.1286246097177
2014-06-03,666.4350177053285
2014-06-04,642.7320226191044
2014-06-05,654.4798019812356
2014-06-06,656.9396803969794
2014-06-07,651.867734881626
2014-06-08,655.5072230946403
2014-06-09,649.209856456258
2014-06-10,649.8772483468995
2014-06-11,638.0825308963321
2014-06-12,615.0012241690869
2014-06-13,589.7634321612765
2014-06-14,569.5367726603081
2014-06-15,565.6481651679107
2014-06-16,596.9648255100713
2014-06-17,596.0596417942597
2014-06-18,608.3900676610989
2014-06-19,604.9851913997528
2014-06-20,591.7690992883901
2014-06-21,589.3397291964842
2014-06-22,598.9622084159869
2014-06-23,589.6024052599555
2014-06-24,585.3131277031747
2014-06-25,567.8672532141534
2014-06-26,569.4706876981365
2014-06-27,584.8373260482118
2014-06-28,597.0244182886906
2014-06-29,595.7158859736782
2014-06-30,623.8850455264152
2014-07-01,648.6118993362501
2014-07-02,647.4788717265209
2014-07-03,646.6918858482294
2014-07-04,635.9768783602157
2014-07-05,630.046933173515
2014-07-06,633.0452773812597
2014-07-07,626.1659438177013
2014-07-08,622.6975275489491
2014-07-09,623.1787311230516
2014-07-10,616.9053632316737
2014-07-11,625.4092608437198
2014-07-12,634.000316797868
2014-07-13,632.7125457808065
2014-07-14,623.3291373771632
2014-07-15,622.4934028056829
2014-07-16,619.261524982786
2014-07-17,619.5575142885201
2014-07-18,625.4779329014222
2014-07-19,629.22701301103
2014-07-20,624.4328200184437
2014-07-21,621.0155042318036
2014-07-22,622.6502424891971
2014-07-23,620.8981775766287
2014-07-24,608.871425758483
2014-07-25,601.6396963659271
2014-07-26,595.5642219411828
2014-07-27,595.2056076873558
2014-07-28,584.1475030905704
2014-07-29,584.2350446784523
2014-07-30,574.7080914662032
2014-07-31,575.2499371036093
2014-08-01,593.6467095128362
2014-08-02,592.6797059047275
2014-08-03,585.3293716652825
2014-08-04,588.0948508490266
2014-08-05,582.7068980275914
2014-08-06,581.4313731901868
2014-08-07,584.7123829362778
2014-08-08,590.4348527073277
2014-08-09,588.113016965
2014-08-10,589.6443520792059
2014-08-11,583.8278588169862
2014-08-12,568.5751801135413
2014-08-13,551.636934216088
2014-08-14,519.3437080124188
2014-08-15,507.21395951954776
2014-08-16,503.9399816501784
2014-08-17,503.74534319260493
2014-08-18,477.65176562766226
2014-08-19,480.6567237757668
2014-08-20,494.44636274577107
2014-08-21,522.2055335910766
2014-08-22,514.0000833495559
2014-08-23,503.8976176113793
2014-08-24,504.40171120495785
2014-08-25,503.1893991025728
2014-08-26,509.14229442617733
2014-08-27,516.4334734295829
2014-08-28,510.0404588041861
2014-08-29,507.80020132740555
2014-08-30,503.4658520207297
2014-08-31,488.2621638026139
2014-09-01,480.32519854848937
2014-09-02,477.9954348973164
2014-09-03,475.7078147569375
2014-09-04,482.25655303059153
2014-09-05,483.6011799175726
2014-09-06,480.8279452336088
2014-09-07,480.1343227462043
2014-09-08,468.7411954091265
2014-09-09,467.1379419178034
2014-09-10,480.9444051726289
2014-09-11,475.4112861530896
2014-09-12,472.44730497941515
2014-09-13,475.848317041427
2014-09-14,476.9997814902222
2014-09-15,475.54094079285437
2014-09-16,468.8883913510056
2014-09-17,455.78823987379155
2014-09-18,437.22500616
2014-09-19,405.33242880403577
2014-09-20,412.2566426859767
2014-09-21,403.72410852114797
2014-09-22,402.5949969616554
2014-09-23,410.7401960521988
2014-09-24,429.35076785115206
2014-09-25,412.2258084603749
2014-09-26,405.4787714437534
2014-09-27,403.1417903613578
2014-09-28,390.76623327041665
2014-09-29,378.3304829187254
2014-09-30,380.79513988424713
2014-10-01,385.6596988617111
2014-10-02,379.4009515867033
2014-10-03,368.1935791175913
2014-10-04,346.8061411788728
2014-10-05,314.68272470091523
2014-10-06,320.5262712744046
2014-10-07,328.50651997047873
2014-10-08,340.1530396903039
2014-10-09,366.0950923589689
2014-10-10,363.12454295792423
2014-10-11,359.74404475479486
2014-10-12,364.6250906793727
2014-10-13,380.7343577505096
2014-10-14,404.10795211074134
2014-10-15,394.8802426072438
2014-10-16,385.9238757093139
2014-10-17,380.3359852544099
2014-10-18,386.59541320578563
2014-10-19,389.6965380059394
2014-10-20,383.6359284514094
2014-10-21,385.78130584236817
2014-10-22,384.6137967845854
2014-10-23,367.7819302800656
2014-10-24,358.0403597497959
2014-10-25,349.8789230109131
2014-10-26,353.43009388602417
2014-10-27,354.18903629543126
2014-10-28,354.63141612917246
2014-10-29,346.1564528071152
2014-10-30,339.71909809657694
2014-10-31,342.4946212419048
2014-11-01,329.1414329398626
2014-11-02,324.9660300151752
2014-11-03,328.7587347577035
2014-11-04,326.9398523034434
2014-11-05,338.28624247469475
2014-11-06,343.55220656081485
2014-11-07,345.45972921573866
2014-11-08,343.8982569830097
2014-11-09,353.24750393694194
2014-11-10,367.7413119855907
2014-11-11,367.4744411469217
2014-11-12,397.1931675268347
2014-11-13,426.64601922729094
2014-11-14,397.94663608073637
2014-11-15,385.69586878759367
2014-11-16,385.04624706976483
2014-11-17,397.7984429670024
2014-11-18,381.536525864163
2014-11-19,379.2896186215598
2014-11-20,365.29072889166383
2014-11-21,352.95666894325103
2014-11-22,358.525228164811
2014-11-23,360.8052002879476
2014-11-24,376.4416272461992
2014-11-25,383.20998468668586
2014-11-26,371.86906095561744
2014-11-27,371.1122266386409
2014-11-28,369.61148960237534
2014-11-29,378.0628959777681
2014-11-30,376.6792354977327
2014-12-01,378.41124529971
2014-12-02,379.70654161381407
2014-12-03,378.5326175985034
2014-12-04,373.4464355985305
2014-12-05,371.74835466689626
2014-12-06,374.81090312658074
2014-12-07,375.9558602008666
2014-12-08,369.20019586732775
2014-12-09,353.29891544312346
2014-12-10,350.585222725014
2014-12-11,354.3007997455761
2014-12-12,353.80018658431425
2014-12-13,350.2702479001267
2014-12-14,352.7211015197149
2014-12-15,351.70001963448186
2014-12-16,338.23001789541087
2014-12-17,324.8403967117647
2014-12-18,314.47543970977523
2014-12-19,313.0344229560953
2014-12-20,325.2030975501336
2014-12-21,325.1165938059356
2014-12-22,328.7921069587993
2014-12-23,333.7050164377458
2014-12-24,328.91960790178905
2014-12-25,319.89187822568823
2014-12-26,324.09461348466533
2014-12-27,319.01954468826216
2014-12-28,316.1655672498019
2014-12-29,315.47594568816197
2014-12-30,313.06624178305907
2014-12-31,314.5148109213382
2015-01-01,316.0956276820084
2015-01-02,315.25965220328055
2015-01-03,302.4060440495698
2015-01-04,275.2548973293898
2015-01-05,272.13918952307534
2015-01-09,291.88525119843024
2015-01-10,281.66642271027865
2015-01-11,274.40146335089963
2015-01-12,269.46060839490644
2015-01-13,238.75761990036543
2015-01-14,195.72750159451522
2015-01-15,205.24476957188344
